Id,Area,Shape,Style,Utilities,Neighborhood,Price
1,8450,Reg,2Story,AllPub,CollgCr,20850
2,9600,Reg,1Story,AllPub,Veenker,18150
3,11250,IR1,2Story,AllPub,CollgCr,22350
4,9550,IR1,2Story,AllPub,Crawfor,14000
5,14260,IR1,2Story,AllPub,NoRidge,25000
6,14115,IR1,1.5Fin,AllPub,Mitchel,14300
7,10084,Reg,1Story,AllPub,Somerst,30700
8,10382,IR1,2Story,AllPub,NWAmes,20000
9,6120,Reg,1.5Fin,AllPub,OldTown,12990
10,7420,Reg,1.5Unf,AllPub,BrkSide,11800
11,11200,Reg,1Story,AllPub,Sawyer,12950
12,11924,IR1,2Story,AllPub,NridgHt,34500
13,12968,IR2,1Story,AllPub,Sawyer,14400
14,10652,IR1,1Story,AllPub,CollgCr,27950
15,10920,IR1,1Story,AllPub,NAmes,15700
16,6120,Reg,1.5Unf,AllPub,BrkSide,13200
17,11241,IR1,1Story,AllPub,NAmes,14900
18,10791,Reg,1Story,AllPub,Sawyer,9000
19,13695,Reg,1Story,AllPub,SawyerW,15900
20,7560,Reg,1Story,AllPub,NAmes,13900
21,14215,IR1,2Story,AllPub,NridgHt,32530
22,7449,Reg,1.5Unf,AllPub,IDOTRR,13940
23,9742,Reg,1Story,AllPub,CollgCr,23000
24,4224,Reg,1Story,AllPub,MeadowV,12990
25,8246,IR1,1Story,AllPub,Sawyer,15400
26,14230,Reg,1Story,AllPub,NridgHt,25630
27,7200,Reg,1Story,AllPub,NAmes,13480
28,11478,Reg,1Story,AllPub,NridgHt,30600
29,16321,IR1,1Story,AllPub,NAmes,20750
30,6324,IR1,1Story,AllPub,BrkSide,9870
31,8500,Reg,2Story,AllPub,IDOTRR,9000
32,8544,IR1,1Story,AllPub,Sawyer,14935
33,11049,Reg,1Story,AllPub,CollgCr,17990
34,10552,IR1,1Story,AllPub,NAmes,16550
35,7313,Reg,1Story,AllPub,NridgHt,27750
36,13418,Reg,2Story,AllPub,NridgHt,30900
37,10859,Reg,1Story,AllPub,CollgCr,14500
38,8532,Reg,1Story,AllPub,NAmes,15300
39,7922,Reg,1Story,AllPub,NAmes,10900
40,6040,Reg,1Story,AllPub,Edwards,8200
41,8658,Reg,1Story,AllPub,NAmes,16000
42,16905,Reg,1Story,AllPub,Timber,17000
43,9180,IR1,SFoyer,AllPub,SawyerW,14400
44,9200,IR1,1Story,AllPub,CollgCr,13025
45,7945,Reg,1Story,AllPub,NAmes,14100
46,7658,Reg,1Story,AllPub,NridgHt,31990
47,12822,IR1,1.5Fin,AllPub,Mitchel,23000
48,11096,Reg,1Story,AllPub,Somerst,24970
49,4456,Reg,2Story,AllPub,OldTown,11300
50,7742,Reg,1Story,AllPub,Sawyer,12700
51,13869,IR2,2Story,AllPub,Gilbert,17700
52,6240,Reg,1.5Fin,AllPub,BrkSide,11450
53,8472,IR2,1Story,AllPub,IDOTRR,11000
54,50271,IR1,1Story,AllPub,Veenker,38500
55,7134,Reg,SLvl,AllPub,NAmes,13000
56,10175,IR1,1Story,AllPub,NAmes,18050
57,2645,Reg,2Story,AllPub,Somerst,17250
58,11645,IR1,2Story,AllPub,CollgCr,19650
59,13682,IR2,2Story,AllPub,StoneBr,43878
60,7200,Reg,1Story,AllPub,CollgCr,12490
61,13072,Reg,1Story,AllPub,SawyerW,15800
62,7200,Reg,2.5Unf,AllPub,IDOTRR,10100
63,6442,IR1,1Story,AllPub,NridgHt,20250
64,10300,IR1,2Story,AllPub,OldTown,14000
65,9375,Reg,2Story,AllPub,CollgCr,21950
66,9591,Reg,2Story,AllPub,NridgHt,31700
67,19900,Reg,1Story,AllPub,NAmes,18000
68,10665,IR1,1Story,AllPub,CollgCr,22600
69,4608,Reg,1Story,AllPub,OldTown,8000
70,15593,Reg,1.5Fin,AllPub,ClearCr,22500
71,13651,IR1,1Story,AllPub,NAmes,24400
72,7599,Reg,1Story,AllPub,Mitchel,12950
73,10141,IR1,2Story,AllPub,Gilbert,18500
74,10200,Reg,1Story,AllPub,NAmes,14490
75,5790,Reg,2Story,AllPub,OldTown,10740
76,1596,Reg,SLvl,AllPub,MeadowV,9100
77,8475,IR1,1Story,AllPub,NAmes,13575
78,8635,Reg,1.5Fin,AllPub,BrkSide,12700
79,10778,Reg,1Story,AllPub,Sawyer,13650
80,10440,Reg,2Story,AllPub,OldTown,11000
81,13000,Reg,2Story,AllPub,NAmes,19350
82,4500,Reg,1Story,AllPub,Mitchel,15350
83,10206,Reg,1Story,AllPub,Somerst,24500
84,8892,IR1,1Story,AllPub,NAmes,12650
85,8530,IR1,SLvl,AllPub,Gilbert,16850
86,16059,Reg,2Story,AllPub,NoRidge,26000
87,11911,IR2,2Story,AllPub,Gilbert,17400
88,3951,Reg,2Story,AllPub,Somerst,16450
89,8470,IR1,1.5Fin,AllPub,IDOTRR,8500
90,8070,Reg,1Story,AllPub,CollgCr,12360
91,7200,Reg,1Story,AllPub,NAmes,10990
92,8500,Reg,1Story,AllPub,NAmes,9860
93,13360,IR1,1Story,AllPub,Crawfor,16350
94,7200,Reg,2.5Unf,AllPub,OldTown,13390
95,9337,IR1,2Story,AllPub,CollgCr,20475
96,9765,IR2,2Story,AllPub,Gilbert,18500
97,10264,IR1,1Story,AllPub,CollgCr,21400
98,10921,Reg,1Story,AllPub,Edwards,9475
99,10625,Reg,1Story,AllPub,Edwards,8300
100,9320,IR1,1Story,AllPub,NAmes,12895
101,10603,IR1,1Story,AllPub,NWAmes,20500
102,9206,Reg,2Story,AllPub,SawyerW,17800
103,7018,Reg,1Story,AllPub,SawyerW,11000
104,10402,IR1,1Story,AllPub,CollgCr,19890
105,7758,Reg,1.5Fin,AllPub,IDOTRR,16950
106,9375,Reg,2Story,AllPub,Somerst,25000
107,10800,Reg,1Story,AllPub,OldTown,10000
108,6000,Reg,1Story,AllPub,OldTown,11500
109,8500,Reg,1.5Fin,AllPub,IDOTRR,11500
110,11751,IR1,1Story,AllPub,NWAmes,19000
111,9525,Reg,1.5Fin,AllPub,Edwards,13690
112,7750,IR1,SLvl,AllPub,Gilbert,18000
113,9965,Reg,2Story,AllPub,CollgCr,38397
114,21000,Reg,1Story,AllPub,Crawfor,21700
115,7259,IR1,2Story,AllPub,Crawfor,25950
116,3230,Reg,2Story,AllPub,Somerst,17600
117,11616,Reg,1Story,AllPub,Sawyer,13900
118,8536,Reg,1Story,AllPub,Edwards,15500
119,12376,Reg,2Story,AllPub,SawyerW,32000
120,8461,Reg,2Story,AllPub,CollgCr,16399
121,21453,IR1,SLvl,AllPub,ClearCr,18000
122,6060,Reg,1.5Fin,AllPub,IDOTRR,10000
123,9464,Reg,1Story,AllPub,NAmes,13600
124,7892,Reg,1Story,AllPub,SawyerW,15390
125,17043,IR1,1Story,AllPub,NWAmes,18100
126,6780,Reg,1.5Fin,AllPub,IDOTRR,8450
127,4928,IR1,1Story,AllPub,NPkVill,12800
128,4388,IR1,1.5Unf,AllPub,OldTown,8700
129,7590,Reg,2Story,AllPub,NAmes,15500
130,8973,Reg,1Story,AllPub,NAmes,15000
131,14200,Reg,2Story,AllPub,NAmes,22600
132,12224,IR1,2Story,AllPub,Gilbert,24400
133,7388,Reg,1Story,AllPub,NAmes,15075
134,6853,IR1,1Story,AllPub,Timber,22000
135,10335,IR1,1Story,AllPub,Sawyer,18000
136,10400,Reg,1Story,AllPub,NWAmes,17400
137,10355,IR1,1Story,AllPub,NAmes,14300
138,11070,Reg,1Story,AllPub,Mitchel,17100
139,9066,IR1,2Story,AllPub,CollgCr,23000
140,15426,IR1,2Story,AllPub,CollgCr,23150
141,10500,Reg,1Story,AllPub,NAmes,11500
142,11645,Reg,1Story,AllPub,CollgCr,26000
143,8520,Reg,1.5Fin,AllPub,NAmes,16600
144,10335,IR1,1Story,AllPub,CollgCr,20400
145,9100,Reg,1Story,AllPub,Sawyer,12500
146,2522,Reg,2Story,AllPub,Edwards,13000
147,6120,Reg,1Story,AllPub,BrkSide,10500
148,9505,IR1,2Story,AllPub,Gilbert,22250
149,7500,Reg,1Story,AllPub,SawyerW,14100
150,6240,Reg,1.5Fin,AllPub,BrkSide,11500
151,10356,Reg,1Story,AllPub,CollgCr,12200
152,13891,Reg,1Story,AllPub,NridgHt,37000
153,14803,IR1,2Story,AllPub,NWAmes,19000
154,13500,Reg,1Story,AllPub,ClearCr,23500
155,11340,Reg,1Story,AllPub,OldTown,12500
156,9600,Reg,1.5Fin,AllPub,Edwards,7900
157,7200,Reg,1Story,AllPub,NAmes,10950
158,12003,Reg,2Story,AllPub,Timber,26950
159,12552,Reg,2Story,AllPub,Somerst,25490
160,19378,IR1,2Story,AllPub,Gilbert,32000
161,11120,IR1,1Story,AllPub,Veenker,16250
162,13688,IR1,2Story,AllPub,NridgHt,41250
163,12182,Reg,1Story,AllPub,NridgHt,22000
164,5500,Reg,1.5Unf,AllPub,OldTown,10320
165,5400,Reg,1Story,AllPub,OldTown,15200
166,10106,Reg,1.5Fin,AllPub,Edwards,12750
167,10708,IR1,1Story,AllPub,ClearCr,19000
168,10562,Reg,2Story,AllPub,NridgHt,32000
169,8244,IR1,2Story,AllPub,Gilbert,18350
170,16669,IR1,1Story,AllPub,Timber,22800
171,12358,IR1,1.5Fin,AllPub,OldTown,12850
172,31770,IR1,1Story,AllPub,NAmes,21500
173,5306,IR1,2Story,AllPub,StoneBr,23900
174,10197,IR1,1Story,AllPub,NAmes,16300
175,12416,IR1,1Story,AllPub,Timber,18400
176,12615,Reg,1Story,AllPub,Edwards,24300
177,10029,IR1,2Story,AllPub,ClearCr,21100
178,13650,Reg,1.5Fin,AllPub,Sawyer,17250
179,17423,IR1,1Story,AllPub,StoneBr,50000
180,8520,Reg,1Story,AllPub,OldTown,10000
181,2117,Reg,2Story,AllPub,Somerst,17700
182,7588,Reg,2Story,AllPub,Crawfor,20010
183,9060,Reg,1Story,AllPub,Edwards,12000
184,11426,Reg,1.5Fin,AllPub,OldTown,20000
185,7438,IR1,1.5Fin,AllPub,BrkSide,12700
186,22950,IR2,2.5Fin,AllPub,OldTown,47500
187,9947,IR1,SLvl,AllPub,Mitchel,17300
188,10410,Reg,1.5Fin,AllPub,OldTown,13500
189,7018,Reg,SFoyer,AllPub,SawyerW,15000
190,4923,Reg,1Story,AllPub,StoneBr,28600
191,10570,Reg,2Story,AllPub,Crawfor,31500
192,7472,IR1,2Story,AllPub,NAmes,18400
193,9017,IR1,1Story,AllPub,CollgCr,19200
194,2522,Reg,2Story,AllPub,Edwards,13000
195,7180,IR1,1Story,AllPub,CollgCr,12700
196,2280,Reg,2Story,AllPub,NPkVill,14850
197,9416,Reg,1Story,AllPub,Somerst,31000
198,25419,Reg,2Story,AllPub,NAmes,23500
199,5520,Reg,2.5Fin,AllPub,OldTown,10400
200,9591,Reg,1Story,AllPub,NridgHt,27490
201,8546,Reg,1Story,AllPub,Edwards,14000
202,10125,Reg,1Story,AllPub,Mitchel,17150
203,7000,Reg,1.5Fin,AllPub,OldTown,11200
204,4438,Reg,1Story,AllPub,CollgCr,14900
205,3500,Reg,1.5Fin,AllPub,OldTown,11000
206,11851,Reg,1Story,AllPub,Gilbert,18050
207,13673,IR1,1Story,AllPub,Sawyer,14390
208,12493,IR1,1Story,AllPub,NAmes,14100
209,14364,IR1,2Story,AllPub,SawyerW,27700
210,8250,Reg,1Story,AllPub,NAmes,14500
211,5604,Reg,1Story,AllPub,Edwards,9800
212,10420,Reg,1Story,AllPub,Edwards,18600
213,8640,Reg,2Story,AllPub,Somerst,25000
214,13568,IR2,1Story,AllPub,CollgCr,15600
215,10900,IR1,2Story,AllPub,CollgCr,16175
216,10011,IR1,1Story,AllPub,NAmes,13445
217,8450,Reg,1Story,AllPub,CollgCr,21000
218,9906,Reg,2Story,AllPub,OldTown,10700
219,15660,IR1,1.5Fin,AllPub,Crawfor,31150
220,3010,Reg,1Story,AllPub,Blmngtn,16724
221,8990,IR1,1Story,AllPub,CollgCr,20490
222,8068,IR1,2Story,AllPub,Gilbert,20000
223,11475,Reg,2Story,AllPub,NWAmes,17990
224,10500,Reg,1Story,AllPub,NAmes,9700
225,13472,Reg,1Story,AllPub,NridgHt,38625
226,1680,Reg,2Story,AllPub,BrDale,11200
227,9950,IR1,2Story,AllPub,NoRidge,29000
228,1869,Reg,2Story,AllPub,BrDale,10600
229,8521,Reg,1Story,AllPub,Sawyer,12500
230,3182,Reg,1Story,AllPub,Blmngtn,19250
231,8760,Reg,1Story,AllPub,NAmes,14800
232,15138,IR1,2Story,AllPub,NoRidge,40300
233,1680,Reg,2Story,AllPub,BrDale,9450
234,10650,Reg,1Story,AllPub,CollgCr,12820
235,7851,Reg,2Story,AllPub,Gilbert,21650
236,1680,Reg,2Story,AllPub,BrDale,8950
237,8773,Reg,1Story,AllPub,CollgCr,18550
238,9453,IR1,2Story,AllPub,SawyerW,19450
239,12030,Reg,1Story,AllPub,NridgHt,31800
240,8741,Reg,1.5Fin,AllPub,Edwards,11300
241,9000,Reg,1Story,AllPub,Somerst,26250
242,3880,Reg,1Story,AllPub,OldTown,11050
243,5000,Reg,1.5Fin,AllPub,OldTown,7900
244,10762,Reg,2Story,AllPub,SawyerW,12000
245,8880,IR1,2Story,AllPub,SawyerW,20500
246,10400,Reg,1Story,AllPub,NWAmes,24150
247,9142,Reg,2Story,AllPub,OldTown,13700
248,11310,Reg,1Story,AllPub,NAmes,14000
249,11317,Reg,2Story,AllPub,CollgCr,18000
250,159000,IR2,1.5Fin,AllPub,ClearCr,27700
251,5350,IR1,1Story,AllPub,BrkSide,7650
252,4750,IR1,1Story,AllPub,Crawfor,23500
253,8366,IR1,2Story,AllPub,SawyerW,17300
254,9350,Reg,SLvl,AllPub,NAmes,15800
255,8400,Reg,1Story,AllPub,NAmes,14500
256,8738,IR1,2Story,AllPub,Gilbert,23000
257,8791,IR1,2Story,AllPub,Somerst,20750
258,8814,Reg,1Story,AllPub,CollgCr,22000
259,12435,Reg,2Story,AllPub,CollgCr,23150
260,12702,Reg,1Story,AllPub,OldTown,9700
261,19296,Reg,SLvl,AllPub,NAmes,17600
262,9588,IR1,2Story,AllPub,CollgCr,27600
263,8471,IR1,SLvl,AllPub,Sawyer,15100
264,5500,Reg,1.5Fin,AllPub,OldTown,13000
265,5232,IR3,1Story,AllPub,OldTown,7300
266,12090,IR1,1Story,AllPub,NWAmes,17550
267,11207,IR1,2Story,AllPub,Gilbert,18500
268,8400,Reg,2.5Fin,AllPub,SWISU,17950
269,6900,Reg,1Story,AllPub,IDOTRR,12050
270,7917,IR1,1Story,AllPub,Edwards,14800
271,10728,Reg,2Story,AllPub,Somerst,26600
272,39104,IR1,1Story,AllPub,ClearCr,24150
273,11764,IR1,2Story,AllPub,NoRidge,29000
274,9600,Reg,1Story,AllPub,NAmes,13900
275,8314,Reg,1Story,AllPub,Mitchel,12450
276,7264,Reg,1.5Fin,AllPub,BrkSide,20500
277,9196,IR1,1Story,AllPub,Mitchel,20100
278,19138,Reg,1Story,AllPub,Gilbert,14100
279,14450,Reg,1Story,AllPub,NridgHt,41000
280,10005,Reg,2Story,AllPub,ClearCr,19200
281,11287,Reg,2Story,AllPub,SawyerW,22850
282,7200,Reg,1Story,AllPub,Somerst,18500
283,5063,Reg,1Story,AllPub,NridgHt,20750
284,9612,Reg,1Story,AllPub,Somerst,24460
285,8012,Reg,1Story,AllPub,SawyerW,17920
286,4251,IR1,2Story,AllPub,Somerst,16470
287,9786,IR1,1.5Fin,AllPub,NAmes,15900
288,8125,IR1,1Story,AllPub,NAmes,8800
289,9819,IR1,1Story,AllPub,Sawyer,12200
290,8730,Reg,2Story,AllPub,BrkSide,15000
291,15611,Reg,2Story,AllPub,CollgCr,23323
292,5687,Reg,2Story,AllPub,SWISU,13590
293,11409,Reg,1.5Fin,AllPub,Edwards,13100
294,16659,IR1,2Story,AllPub,NWAmes,23500
295,9600,Reg,1Story,AllPub,NAmes,16700
296,7937,IR1,SLvl,AllPub,Mitchel,14250
297,13710,Reg,1.5Fin,AllPub,IDOTRR,15200
298,7399,IR1,2Story,AllPub,Somerst,23900
299,11700,Reg,2Story,AllPub,NWAmes,17500
300,14000,Reg,1Story,AllPub,Crawfor,15850
301,15750,Reg,1Story,AllPub,Crawfor,15700
302,16226,IR3,2Story,AllPub,CollgCr,26700
303,13704,IR1,1Story,AllPub,CollgCr,20500
304,9800,Reg,1Story,AllPub,CollgCr,14990
305,18386,Reg,2.5Fin,AllPub,OldTown,29500
306,10386,Reg,1Story,AllPub,CollgCr,30590
307,13474,Reg,2Story,AllPub,SawyerW,22500
308,7920,IR1,1.5Fin,AllPub,IDOTRR,8950
309,12342,IR1,1Story,AllPub,Edwards,8250
310,12378,IR1,1Story,AllPub,NridgHt,36000
311,7685,IR1,2Story,AllPub,Gilbert,16560
312,8000,Reg,1Story,AllPub,NAmes,13200
313,7800,Reg,1.5Fin,AllPub,OldTown,11990
314,215245,IR3,1Story,AllPub,Timber,37500
315,9600,Reg,2Story,AllPub,OldTown,17800
316,7795,IR1,2Story,AllPub,Gilbert,18850
317,13005,IR1,2Story,AllPub,NWAmes,26000
318,9000,Reg,2Story,AllPub,Somerst,27000
319,9900,Reg,2Story,AllPub,NoRidge,26000
320,14115,Reg,SLvl,AllPub,NWAmes,18750
321,16259,Reg,2Story,AllPub,NridgHt,34000
322,12099,IR1,2Story,AllPub,NridgHt,35400
323,10380,IR1,2Story,AllPub,SawyerW,30100
324,5820,Reg,1Story,AllPub,OldTown,12000
325,11275,Reg,SLvl,AllPub,NAmes,24200
326,5000,Reg,1.5Unf,AllPub,IDOTRR,8700
327,10846,IR1,1Story,AllPub,Veenker,32400
328,11600,Reg,1Story,AllPub,NAmes,14525
329,11888,IR1,2.5Unf,AllPub,BrkSide,21450
330,6402,Reg,2Story,AllPub,IDOTRR,7800
331,10624,IR1,1Story,AllPub,NAmes,11900
332,8176,Reg,1Story,AllPub,NAmes,13900
333,10655,IR1,1Story,AllPub,NridgHt,28400
334,8198,Reg,1Story,AllPub,NridgHt,20700
335,9042,IR1,2Story,AllPub,Gilbert,19200
336,164660,IR1,1.5Fin,AllPub,Timber,22895
337,14157,IR1,1Story,AllPub,StoneBr,37000
338,9135,Reg,1Story,AllPub,CollgCr,21400
339,14145,Reg,1Story,AllPub,NWAmes,20250
340,12400,IR1,1Story,AllPub,NAmes,15500
341,14191,Reg,2Story,AllPub,Timber,20290
342,8400,Reg,1Story,AllPub,SawyerW,8200
343,8544,Reg,1Story,AllPub,NAmes,8750
344,8849,IR1,1Story,AllPub,NridgHt,26600
345,2592,Reg,2Story,AllPub,MeadowV,8500
346,6435,Reg,1.5Fin,AllPub,BrkSide,14020
347,12772,IR1,1Story,AllPub,NAmes,15150
348,17600,IR1,1Story,AllPub,NAmes,15750
349,2448,Reg,2Story,AllPub,NridgHt,15400
350,20431,IR2,2Story,AllPub,NridgHt,43000
351,7820,IR1,1Story,AllPub,NridgHt,31000
352,5271,IR1,1Story,AllPub,ClearCr,19000
353,9084,Reg,1.5Fin,AllPub,Edwards,9500
354,8520,Reg,1Story,AllPub,OldTown,10590
355,8400,Reg,1.5Fin,AllPub,SWISU,14000
356,11249,IR2,1Story,AllPub,CollgCr,17750
357,9248,IR1,1Story,AllPub,Gilbert,17300
358,4224,Reg,1Story,AllPub,MeadowV,13400
359,6930,IR1,SLvl,AllPub,ClearCr,13000
360,12011,IR1,2Story,AllPub,NoRidge,28000
361,7540,IR1,SFoyer,AllPub,Mitchel,15600
362,9144,Reg,1.5Fin,AllPub,BrkSide,14500
363,7301,Reg,SFoyer,AllPub,Edwards,19850
364,1680,Reg,2Story,AllPub,BrDale,11800
365,18800,IR1,2Story,AllPub,NWAmes,19000
366,10690,Reg,2Story,AllPub,IDOTRR,14700
367,9500,IR1,1Story,AllPub,NAmes,15900
368,9150,IR1,SLvl,AllPub,NAmes,16500
369,7800,Reg,1Story,AllPub,NAmes,13200
370,9830,IR1,1Story,AllPub,NAmes,16200
371,8121,IR1,2Story,AllPub,Gilbert,17240
372,17120,Reg,1.5Fin,AllPub,ClearCr,13000
373,7175,Reg,1Story,AllPub,SawyerW,12500
374,10634,Reg,1Story,AllPub,NAmes,12300
375,8200,Reg,2Story,AllPub,CollgCr,21950
376,10020,IR1,1Story,AllPub,Edwards,9100
377,8846,IR1,SFoyer,AllPub,CollgCr,14800
378,11143,IR1,2Story,AllPub,Somerst,34000
379,11394,Reg,1Story,AllPub,StoneBr,39000
380,8123,IR1,2Story,AllPub,Gilbert,17900
381,5000,Reg,1.5Fin,AllPub,SWISU,12700
382,7200,Reg,1Story,AllPub,Somerst,18775
383,9245,IR1,2Story,AllPub,CollgCr,21350
384,9000,Reg,1.5Unf,AllPub,SawyerW,7600
385,53107,IR2,2Story,AllPub,ClearCr,24000
386,3182,Reg,1Story,AllPub,Blmngtn,19200
387,8410,Reg,1.5Fin,AllPub,Edwards,8100
388,7200,Reg,SLvl,AllPub,Edwards,12500
389,9382,IR1,1Story,AllPub,CollgCr,19100
390,12474,Reg,2Story,AllPub,NridgHt,42600
391,8405,Reg,1.5Fin,AllPub,Edwards,11900
392,12209,IR1,2Story,AllPub,Mitchel,21500
393,8339,IR1,1Story,AllPub,NAmes,10650
394,7446,Reg,1Story,AllPub,BrkSide,10000
395,10134,Reg,1.5Fin,AllPub,OldTown,10900
396,9571,Reg,1Story,AllPub,Edwards,12900
397,7200,Reg,1Story,AllPub,CollgCr,12300
398,7590,Reg,2Story,AllPub,NAmes,16950
399,8967,Reg,1Story,AllPub,IDOTRR,9700
400,8125,Reg,2Story,AllPub,Somerst,24100
401,14963,IR2,1Story,AllPub,Veenker,24550
402,8767,IR1,1Story,AllPub,CollgCr,16499
403,10200,Reg,1Story,AllPub,Sawyer,10800
404,12090,Reg,2Story,AllPub,NoRidge,25800
405,10364,IR1,2Story,AllPub,Gilbert,16800
406,9991,IR1,1Story,AllPub,Sawyer,15000
407,10480,Reg,1.5Fin,AllPub,SWISU,11500
408,15576,Reg,2Story,AllPub,Crawfor,17700
409,14154,Reg,2Story,AllPub,NridgHt,28000
410,10800,Reg,2Story,AllPub,Somerst,33975
411,9571,Reg,1Story,AllPub,Edwards,9000
412,34650,Reg,1Story,AllPub,Gilbert,14500
413,4403,IR2,1Story,AllPub,Somerst,22200
414,8960,Reg,1Story,AllPub,OldTown,11500
415,11228,IR2,2Story,AllPub,SawyerW,22800
416,8899,IR1,1Story,AllPub,Gilbert,18000
417,7844,Reg,2Story,AllPub,Sawyer,14950
418,22420,IR1,2Story,AllPub,Crawfor,23900
419,8160,Reg,1.5Fin,AllPub,Edwards,12600
420,8450,Reg,1Story,AllPub,NAmes,14200
421,7060,Reg,SFoyer,AllPub,Mitchel,20630
422,16635,IR1,1Story,AllPub,NWAmes,21500
423,21750,Reg,1Story,AllPub,Mitchel,11300
424,9200,Reg,2Story,AllPub,NoRidge,31500
425,9000,Reg,1Story,AllPub,NAmes,13900
426,3378,Reg,2Story,AllPub,OldTown,13500
427,12800,Reg,SLvl,AllPub,SawyerW,27500
428,8593,IR1,1Story,AllPub,NAmes,10000
429,6762,Reg,1Story,AllPub,CollgCr,19540
430,11457,IR1,1Story,AllPub,Timber,17500
431,1680,Reg,2Story,AllPub,BrDale,8540
432,5586,IR1,1.5Fin,AllPub,OldTown,7990
433,1920,Reg,2Story,AllPub,BrDale,12250
434,10839,IR1,2Story,AllPub,Gilbert,18100
435,1890,Reg,SFoyer,AllPub,MeadowV,8100
436,10667,IR2,2Story,AllPub,CollgCr,21200
437,4400,Reg,1.5Fin,AllPub,OldTown,11600
438,6000,Reg,1.5Unf,AllPub,BrkSide,11900
439,4280,Reg,1Story,AllPub,Crawfor,9035
440,12354,Reg,1.5Fin,AllPub,Edwards,11000
